talker	condition	n.duration	mean.duration	std.err.duration	n.syllables.per.utterance	mean.syllables.per.utterance	std.err.syllables.per.utterance	n.syllables.per.second	mean.syllables.per.second	std.err.syllables.per.second
s122	ADS	436	1871.5525005470165	68.6784777524611	436	9.403669724770642	0.3554530991074446	436	5.058024783451977	0.06878935164686878
s122	CDS	569	1152.9269310625607	34.14987983054718	569	5.942003514938489	0.17344898592685817	569	5.383564534054078	0.0839225054550069
s123	ADS	423	2605.1999381597657	102.77042055695706	423	10.274231678486998	0.4735398828453832	423	3.9081322854938785	0.07062214555305389
s123	CDS	768	1514.8450783247895	38.36262920380968	768	5.484375	0.15410887671897175	768	3.7752395444613582	0.05983173658976946
s124	ADS	534	1154.6246344962556	35.26491561331206	534	5.387640449438202	0.1683925761744141	534	4.888960289144504	0.07298188711285428
s124	CDS	700	788.8446827257067	18.415648289861235	700	4.521428571428571	0.10679622380029359	700	5.999567950979553	0.07557071909330869
s125	ADS	707	1740.68376597327	41.03791064219964	707	16.01131541725601	0.4139636249819817	707	9.034256600209968	0.08750605665310927
s125	CDS	929	1266.57530712943	25.48125474193639	929	6.110871905274489	0.13859348524985746	929	4.727005893330006	0.0524982641039176
s126	ADS	624	2006.837245568689	66.85040585361666	624	10.275641025641026	0.37504232020186	624	4.861164989268382	0.0645408644829579
s126	CDS	893	1156.6456419701988	25.681938261026147	893	6.0604703247480405	0.14121532339812062	893	5.390433687216333	0.06932371542811458
s127	ADS	875	1517.3271847758735	37.466639718894776	875	6.884571428571428	0.2000109239065929	875	4.209705945008967	0.05658979339894266
s127	CDS	729	1298.1262799788124	29.512426710405023	729	5.3401920438957475	0.14057538251125304	729	4.148607150086119	0.0630726015361738
s128	ADS	1006	1610.5455838903563	36.90547884192961	1006	7.582504970178927	0.19855927495717318	1006	4.544644992605553	0.047392625858166094
s128	CDS	1219	1034.928650688815	18.422643098257367	1220	8.510655737704917	3.65708600813492	1219	4.718827014702424	0.05040933392808179
s132	ADS	536	2351.6785015802216	77.3551039996769	536	10.807835820895523	0.37948143862323863	536	4.524428342859092	0.059613684877011415
s132	CDS	606	1367.8943894389338	37.8572761925682	606	5.884488448844884	0.1894002220962309	606	4.456341797795849	0.0758097466153089
