talker	condition	n.duration	mean.duration	std.err.duration	n.syllables.per.utterance	mean.syllables.per.utterance	std.err.syllables.per.utterance	n.syllables.per.second	mean.syllables.per.second	std.err.syllables.per.second
s101	ADS	281	1356.0854135214947	49.829637691652664	281	5.544483985765124	0.2226296926468176	281	4.1381784527444845	0.08123375027024221
s101	CDS	886	1188.653469408012	20.387249876610984	886	4.962753950338601	0.10504224826807322	886	4.145599204945245	0.04988769545895578
s102	ADS	247	2409.944507783806	83.00055152770705	247	9.591093117408906	0.3540755300857921	247	3.9446126797371446	0.06543504303608476
s102	CDS	1173	1206.911326564039	18.642323360469813	1173	5.287297527706735	0.08802508463366719	1173	4.491963718974733	0.04565784641347286
s103	ADS	414	1531.5308478437198	65.356160080349	414	6.417874396135265	0.3102766226468546	414	3.974937220889266	0.07455084499610877
s103	CDS	798	1102.0093002324788	21.073386618719844	798	5.18546365914787	0.12218182790113953	798	4.557974781777641	0.05788611745066941
s104	ADS	401	1631.394605294631	61.02538914567214	401	7.967581047381546	0.30593239349018464	401	4.793408517991323	0.08419671813681283
s104	CDS	624	914.5267489291297	22.496845539099056	624	4.895833333333333	0.11521212220742295	624	5.659224349422886	0.07433165509630339
s105	ADS	312	1580.0706009232995	73.97754343072435	312	7.785256410256411	0.3943105269864085	312	4.8563460125309525	0.09843096656223037
s105	CDS	1071	1167.7810450158722	21.351795999817366	1071	12.605042016806722	0.2587288381402284	1071	10.758324323932824	0.11022560508029795
s106	ADS	338	2918.579915619969	121.40043075456313	338	13.127218934911243	0.5657134337833809	338	4.576774094687806	0.07725648202800908
s106	CDS	1080	1150.8592804851812	21.688485760876627	1080	5.150925925925926	0.10259730307912251	1080	4.779948753471903	0.06478359086560634
s107	ADS	506	1846.524607947159	58.633114137466855	506	9.430830039525691	0.3632755956863266	506	4.927358215909423	0.07886335893525832
s107	CDS	1415	1201.9726740565434	19.431821590764258	1415	6.351236749116608	0.11113602217821708	1415	5.493249134942511	0.05737591865040284
s108	ADS	502	1234.2133691770316	41.81700599611993	502	6.308764940239044	0.22151693987392465	502	5.107134271823895	0.06494961006793154
s108	CDS	1282	803.6088581807358	13.99414630884385	1282	4.659126365054602	0.08946348856954511	1282	5.93041324390231	0.05989413510195565
s109	ADS	470	1934.1181723170216	75.65780813207604	470	14.457446808510639	0.7211198456331364	470	7.3175979865997505	0.1639286057827396
s109	CDS	982	1091.3664874078443	23.17826446779563	982	5.209775967413442	0.12644725193802833	982	4.945127732953114	0.06830454693488859
s110	ADS	325	2090.4260396649224	86.25038879628025	325	9.96	0.4481732469249579	325	4.754980533669118	0.08294374821645759
s110	CDS	900	1360.6828843376643	29.51713669380648	900	6.475555555555555	0.15720830416617274	900	4.718514355840579	0.06120350215167365
s111	ADS	444	2013.4761553443686	75.3514953170597	444	8.146396396396396	0.3089435217957159	444	4.278060813650366	0.06785443379395989
s111	CDS	957	1011.0945158040694	22.310328674598598	957	4.734587251828631	0.111551057069079	957	4.852814292364746	0.059253618712843285
s112	ADS	283	2379.9461041696122	98.96104439602523	283	11.385159010600706	0.4861696165135242	283	4.806104736053732	0.07216412955639226
s112	CDS	1181	1403.943813632455	25.10219492359948	1181	5.8619813717188824	0.11852877285693089	1181	4.154531735547986	0.04001578605581158
s113	ADS	334	2114.568510548817	95.94389845085729	334	10.173652694610778	0.49017910837391215	334	5.149226521467577	0.11989361227577106
s113	CDS	1379	1313.1605375132199	23.124046051428014	1379	6.667150108774474	0.12910594342720588	1379	5.070669490335441	0.04669185029728853
s114	ADS	267	2204.4577042363317	102.02791901780081	267	10.194756554307116	0.44038405167248657	267	4.790091369635034	0.0726518400838682
s114	CDS	751	1402.637408292934	34.13539733493656	751	6.249001331557923	0.17545040258045422	751	4.418208159756351	0.06634952576440119
s115	ADS	246	2361.9043018617895	114.92855848940813	246	9.634146341463415	0.4463422340807588	246	4.320608788098095	0.07361359387783233
s115	CDS	649	1877.554058872562	44.66831684594083	649	8.80893682588598	0.23632845554307413	649	4.868302039065152	0.0827524891745121
s116	ADS	306	2197.055583340848	91.1024264240645	306	10.784313725490197	0.46777391609474905	306	5.142572491514793	0.09897225434830981
s116	CDS	1098	1404.9694153525404	26.41738982876667	1098	6.537340619307832	0.14685534385230747	1098	4.6437999559424865	0.055727272477169854
s117	ADS	423	1830.8106831545679	65.17277806737614	423	8.026004728132389	0.2866225720076868	423	4.555321082404761	0.06116778717050599
s117	CDS	692	1176.9926034464033	28.4959772280739	692	5.437861271676301	0.156104089395085	692	4.404472252199198	0.05718416060897859
s118	ADS	332	1412.53886306039	58.55055082105473	332	6.259036144578313	0.3270706931829166	332	4.0648437154267185	0.09217758688601878
s118	CDS	1130	1004.091848620178	19.352742222486135	1130	5.251327433628319	0.11820177110134929	1130	5.368092624887472	0.06599872542023628
s119	ADS	364	1416.8640151401091	58.2977977976294	364	7.25	0.2891891850791596	364	5.418490980487537	0.07593612406953462
s119	CDS	639	1226.514028220769	32.53316702942728	639	5.724569640062597	0.16497310375251287	639	4.7689990904917625	0.07490288360766957
s120	ADS	326	1873.5909878374218	79.10820037063421	326	8.769938650306749	0.3898154280489709	326	4.7984957052420105	0.08255736999144946
s120	CDS	729	855.3945770716061	17.641466202306415	729	4.647462277091907	0.10885303688625836	729	5.55591060355965	0.07475664667079938
s121	ADS	361	2294.179553516898	91.38950393422863	361	9.698060941828254	0.3848877377334609	361	4.59447817026708	0.09695736185873349
s121	CDS	550	1634.6036521272708	48.32594003857059	550	7.787272727272727	0.23680345542183606	550	4.830469199396937	0.061199103454615766
