talker	condition	n	mean.F0	std.dev.F0	std.err.F0
s101	ADS	138	247.46391304347827	96.14509202420449	8.184413748600495
s101	CDS	417	259.720551558753	110.38150541824012	5.405405576327928
s102	ADS	107	237.93542056074767	77.39260415496753	7.4818254418874135
s102	CDS	599	278.2493489148581	95.15104165221629	3.887766165219909
s103	ADS	126	209.3570634920635	82.9783974303429	7.392303183045389
s103	CDS	332	255.36864457831325	102.66417586633801	5.63442864571001
s104	ADS	72	236.50625	95.1708191671728	11.215988600697758
s104	CDS	309	240.5315210355987	105.07090735013303	5.977275080093567
s105	ADS	151	224.7407284768212	72.02784134947946	5.861542600040647
s105	CDS	579	232.71490500863558	86.03074118097787	3.575315590053188
s106	ADS	154	236.95305194805195	108.68453050766004	8.758049051738949
s106	CDS	630	239.10509523809523	100.91100144341081	4.020390530724963
s107	ADS	263	280.4726615969582	81.3177626750555	5.014268055368592
s107	CDS	768	292.90274739583333	95.20485685806713	3.435409358447803
s108	ADS	186	202.40451612903226	48.82835505453948	3.5802686999932645
s108	CDS	672	224.44933035714286	46.93758805665504	1.810656769070637
s109	ADS	179	244.68	91.608132237999655	6.847113281614088
s109	CDS	485	243.32360824742267	78.73111181571599	3.574995629076349
s110	ADS	199	214.48577889447236	98.18763010855646	6.960336554826626
s110	CDS	38	239.02157894736843	102.11095172558333	16.56458370193882
s111	ADS	169	271.27360946745563	117.22554501031601	9.017349616178155
s111	CDS	510	261.79886274509806	100.13272114298015	4.433951418692932
s112	ADS	145	243.1035172413793	73.43453080551707	6.098405848578415
s112	CDS	577	285.1621143847487	95.9627688168377	3.9949823379340823
s113	ADS	160	261.5319375	102.51179689436623	8.104269130569314
s113	CDS	690	282.33036231884057	101.51071598797355	3.864446912896552
s114	ADS	126	249.99238095238096	75.23251316741795	6.7022449671056465
s114	CDS	259	320.24795366795365	112.3687590038257	6.982254948805242
s115	ADS	110	196.7190909090909	44.144115040897056	4.208976222684901
s115	CDS	266	226.74781954887217	43.557848966041085	2.670703074442433
s116	ADS	145	273.3616551724138	106.51667816078404	8.845728650288695
s116	CDS	469	337.3036460554371	104.09376686086786	4.806603555354544
s117	ADS	139	222.58474820143886	39.40674915215014	3.342436838552933
s117	CDS	249	221.82305220883535	47.48932169787094	3.0095134800899093
s118	ADS	97	245.91082474226803	86.4115813113577	8.773766770761894
s118	CDS	674	299.13989614243326	103.82489592629071	3.9991855651034984
s119	ADS	198	228.86151515151516	51.11368263999975	3.6324912514737586
s119	CDS	252	247.27329365079365	56.73360326391977	3.573881076593668
s120	ADS	175	216.38325714285713	58.45518986444805	4.418797006354086
s120	CDS	457	225.2696717724289	56.290274047159436	2.633147957667373
s121	ADS	173	228.22890173410406	105.02001262470775	7.984523705013204
s121	CDS	327	293.9389296636086	107.9120475674545	5.967549866347257
s122	ADS	131	245.46580152671757	120.83627642363669	10.55751449031459
s122	CDS	366	236.75775956284153	101.40083650411279	5.300306631952092
s123	ADS	137	190.97087591240876	41.17729629431113	3.5180138413116713
s123	CDS	342	222.74190058479533	50.392557329501514	2.7249174214683864
s124	ADS	155	198.29696774193548	44.86661653954692	3.603773362702063
s124	CDS	363	197.29669421487603	38.04563014354601	1.9968777095332029
s125	ADS	328	320.6173475609756	135.3990622293082	7.47616253554281
s125	CDS	365	250.77824657534248	104.93607576218774	5.492605239666816
s126	ADS	227	287.1073568281938	98.07663950193022	6.509575196081775
s126	CDS	421	274.615296912114	100.8376094459834	4.914524374833537
s127	ADS	221	199.9272398190045	45.44885271160666	3.0572206737443333
s127	CDS	333	215.68813813813813	60.43236941930593	3.311673444332379
s128	ADS	378	206.74079365079365	48.74058775660347	2.506945323321746
s128	CDS	411	215.19800486618004	46.84860393484398	2.310871214064075
s131	ADS	0	NA	NA	NA
s131	CDS	348	194.35635057471265	52.49747723498841	2.8141601695496425
s132	ADS	165	217.898	57.62783035956863	4.486320508924353
s132	CDS	271	206.72357933579335	45.47802193766927	2.7625930912922767
